row.id,year,exposure,nb.rb,driver.age,drv.age,driver.gender,marital.status,yrs.licensed,yrs.lic,ncd.level,region,body.code,vehicle.age,veh.age,vehicle.value,seats,ccm,hp,weight,length,width,height,fuel.type,prior.claims,clm.count,clm.incurred
31,2010,8%,NB,58,58,Male,Married,4,4,5,3,E,3,3,21,2,1997,90,1260,4.137,1.724,1.81,Diesel,0,0,0
32,2011,100%,NB,52,52,Male,Married,1,1,1,3,A,1,1,20.25,3,1398,70,1090,3.864,1.816,1.721,Diesel,1,0,0
33,2010,8%,NB,52,52,Male,Married,1,1,1,3,A,1,1,20.25,3,1398,70,1090,3.864,1.816,1.721,Diesel,1,0,0
34,2010,100%,NB,35,35,Male,Married,3,3,4,3,E,2,2,21.5,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,0,0
35,2011,8%,NB,35,35,Male,Married,3,3,4,3,E,2,2,21.5,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,1,1905.21
36,2010,100%,NB,54,54,Male,Married,5,5,5,29,E,4,4,16.6,5,1248,75,1320,4.253,1.722,1.831,Diesel,1,1,1408.8
37,2011,8%,NB,54,54,Male,Married,5,5,5,29,E,4,4,16.6,5,1248,75,1320,4.253,1.722,1.831,Diesel,1,0,0
38,2010,100%,NB,26,26,Male,Divorced,1,1,1,2,D,4,4,15.95,2,1399,68,1090,3.917,1.683,1.463,Diesel,0,0,0
39,2011,8%,NB,26,26,Male,Divorced,1,1,1,2,D,4,4,15.95,2,1399,68,1090,3.917,1.683,1.463,Diesel,0,0,0
40,2010,100%,RB,45,45,Male,Married,2,2,3,3,E,5,5,14.6,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,0,0
41,2011,8%,RB,45,45,Male,Married,2,2,3,3,E,5,5,14.6,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,0,0
42,2010,100%,NB,65,65,Female,Married,3,3,6,3,A,4,4,19,5,1753,75,1485,4.297,1.795,1.814,Diesel,0,0,0
43,2011,8%,NB,65,65,Female,Married,3,3,6,3,A,4,4,19,5,1753,75,1485,4.297,1.795,1.814,Diesel,0,0,0
44,2010,100%,NB,54,54,Male,Married,1,1,4,3,A,4,4,26,5,1896,105,1446,4.405,1.802,1.833,Diesel,2,0,0
45,2011,8%,NB,54,54,Male,Married,1,1,4,3,A,4,4,26,5,1896,105,1446,4.405,1.802,1.833,Diesel,2,0,0
46,2010,100%,NB,49,49,Male,Married,4,4,4,3,A,4,4,19.8,5,1753,90,1485,4.297,1.795,1.814,Diesel,1,0,0
47,2011,8%,NB,49,49,Male,Married,4,4,4,3,A,4,4,19.8,5,1753,90,1485,4.297,1.795,1.814,Diesel,1,0,0
48,2011,100%,NB,66,66,Male,Married,2,2,3,3,E,1,1,21.9,2,1868,70,1175,4.137,1.724,1.815,Diesel,0,0,0
49,2010,8%,NB,66,66,Male,Married,2,2,3,3,E,1,1,21.9,2,1868,70,1175,4.137,1.724,1.815,Diesel,0,0,0
50,2011,100%,NB,58,58,Male,Married,6,6,6,3,C,5,5,23.854,5,2499,136,1775,5.035,1.72,1.645,Diesel,0,0,0
51,2010,8%,NB,58,58,Male,Married,6,6,6,3,C,5,5,23.854,5,2499,136,1775,5.035,1.72,1.645,Diesel,0,0,0
52,2010,50%,RB,53,53,Male,Married,2,2,6,3,A,4,4,16.35,5,1753,75,1485,4.297,1.795,1.814,Diesel,0,0,0
53,2010,8%,RB,53,53,Male,Married,2,2,6,3,A,4,4,16.35,5,1753,75,1485,4.297,1.795,1.814,Diesel,0,0,0
54,2011,100%,NB,39,39,Male,Married,1,1,1,21,D,2,2,14.8,3,1398,70,1090,3.864,1.816,1.721,Diesel,0,0,0
55,2010,8%,NB,39,39,Male,Married,1,1,1,21,D,2,2,14.8,3,1398,70,1090,3.864,1.816,1.721,Diesel,0,0,0
56,2010,100%,NB,40,40,Male,Divorced,1,1,1,3,F,3,3,18.8,3,2476,94,1440,4.795,1.74,1.965,Diesel,0,0,0
57,2011,8%,NB,40,40,Male,Divorced,1,1,1,3,F,3,3,18.8,3,2476,94,1440,4.795,1.74,1.965,Diesel,0,0,0
58,2010,100%,NB,49,49,Male,Married,3,3,5,14,D,8,8,12.3,2,1910,105,1310,4.159,1.714,1.82,Diesel,1,0,0
59,2011,8%,NB,49,49,Male,Married,3,3,5,14,D,8,8,12.3,2,1910,105,1310,4.159,1.714,1.82,Diesel,1,0,0
60,2010,100%,NB,51,51,Male,Married,1,1,1,3,A,3,3,23.65,5,1248,70,1285,4.322,1.684,1.801,Diesel,0,0,0
61,2011,8%,NB,51,51,Male,Married,1,1,1,3,A,3,3,23.65,5,1248,70,1285,4.322,1.684,1.801,Diesel,0,0,0
62,2010,92%,RB,46,46,Male,Married,5,5,6,21,A,9,9,11.9,5,1868,70,1190,4.137,1.724,1.819,Diesel,0,0,0
63,2011,17%,RB,46,46,Male,Married,5,5,6,21,A,9,9,11.9,5,1868,70,1190,4.137,1.724,1.819,Diesel,0,0,0
64,2010,100%,NB,29,29,Male,Married,1,1,1,21,D,5,5,13.3,3,2476,100,1890,5.035,1.82,1.98,Diesel,0,0,0
65,2011,8%,NB,29,29,Male,Married,1,1,1,21,D,5,5,13.3,3,2476,100,1890,5.035,1.82,1.98,Diesel,0,0,0
66,2011,100%,RB,44,44,Male,Married,3,3,4,3,E,5,5,14.6,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,0,0
67,2010,8%,RB,44,44,Male,Married,3,3,4,3,E,5,5,14.6,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,0,0
68,2010,100%,NB,47,47,Male,Married,2,2,3,3,A,1,1,27.5,5,1560,90,1422,4.38,2.112,1.875,Diesel,0,0,0
69,2011,8%,NB,47,47,Male,Married,2,2,3,3,A,1,1,27.5,5,1560,90,1422,4.38,2.112,1.875,Diesel,0,0,0
70,2010,100%,NB,34,34,Male,Married,1,1,1,28,E,1,1,25,2,1248,75,1190,3.864,1.716,1.721,Diesel,0,0,0
71,2011,8%,NB,34,34,Male,Married,1,1,1,28,E,1,1,25,2,1248,75,1190,3.864,1.716,1.721,Diesel,0,0,0
72,2010,100%,NB,50,50,Male,Married,3,3,3,29,A,3,3,18.1,5,1867,71,1240,4.137,1.724,1.819,Diesel,1,0,0
73,2011,8%,NB,50,50,Male,Married,3,3,3,29,A,3,3,18.1,5,1867,71,1240,4.137,1.724,1.819,Diesel,1,0,0
74,2010,92%,RB,68,68,Male,Married,2,2,6,33,C,5,5,16.8,5,1948,90,1760,4.91,1.81,1.755,Diesel,0,0,0
75,2011,17%,RB,68,68,Male,Married,2,2,6,33,C,5,5,16.8,5,1948,90,1760,4.91,1.81,1.755,Diesel,0,0,0
76,2010,100%,NB,30,30,Male,Married,1,1,1,21,E,5,5,18.2,5,1997,90,1285,4.137,1.724,1.924,Diesel,0,0,0
77,2011,8%,NB,30,30,Male,Married,1,1,1,21,E,5,5,18.2,5,1997,90,1285,4.137,1.724,1.924,Diesel,0,0,0
78,2010,100%,RB,59,59,Male,Married,4,4,6,9,D,10,10,10,2,1905,90,1400,4.44,1.81,1.94,Diesel,0,0,0
79,2011,8%,RB,59,59,Male,Married,4,4,6,9,D,10,10,10,2,1905,90,1400,4.44,1.81,1.94,Diesel,0,0,0
80,2010,100%,NB,48,48,Male,Married,1,1,6,3,D,5,5,15.85,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
81,2010,8%,NB,48,48,Male,Married,1,1,6,3,D,5,5,15.85,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
82,2011,92%,RB,68,68,Male,Married,2,2,4,33,C,3,3,20.2,5,1948,90,1760,4.91,1.81,1.755,Diesel,0,0,0
83,2010,17%,RB,68,68,Male,Married,2,2,4,33,C,3,3,20.2,5,1948,90,1760,4.91,1.81,1.755,Diesel,0,0,0
84,2011,92%,NB,48,48,Male,Married,4,4,5,21,A,4,4,22.2,5,1753,90,1485,4.297,1.795,1.814,Diesel,1,0,0
85,2010,17%,NB,48,48,Male,Married,4,4,5,21,A,4,4,22.2,5,1753,90,1485,4.297,1.795,1.814,Diesel,1,0,0
86,2010,92%,RB,46,46,Male,Married,2,2,3,3,A,1,1,22.75,4,1398,70,1190,3.864,1.716,1.721,Diesel,0,0,0
87,2011,17%,RB,46,46,Male,Married,2,2,3,3,A,1,1,22.75,4,1398,70,1190,3.864,1.716,1.721,Diesel,0,0,0
88,2010,8%,NB,56,56,Male,Married,2,2,3,3,A,1,1,27.5,5,1560,90,1422,4.38,2.112,1.875,Diesel,0,0,0
89,2011,83%,NB,56,56,Male,Married,2,2,3,3,A,1,1,30.75,5,1560,110,1444,4.38,2.112,1.875,Diesel,0,0,0
90,2010,17%,NB,56,56,Male,Married,2,2,3,3,A,1,1,30.75,5,1560,110,1444,4.38,2.112,1.875,Diesel,0,0,0
91,2011,92%,RB,52,52,Male,Married,5,5,6,3,E,4,4,18.1,2,1868,70,1175,4.137,1.724,1.815,Diesel,0,0,0
92,2010,17%,RB,52,52,Male,Married,5,5,6,3,E,4,4,18.1,2,1868,70,1175,4.137,1.724,1.815,Diesel,0,0,0
93,2010,92%,NB,37,37,Male,Married,1,1,4,28,D,5,5,14.1,2,1910,105,1280,4.253,1.722,1.831,Diesel,0,0,0
94,2011,17%,NB,37,37,Male,Married,1,1,4,28,D,5,5,14.1,2,1910,105,1280,4.253,1.722,1.831,Diesel,0,0,0
95,2010,92%,NB,37,37,Male,Married,2,2,3,28,C,1,1,31.825,5,2477,136,1760,5.075,1.75,1.775,Diesel,0,0,0
96,2011,17%,NB,37,37,Male,Married,2,2,3,28,C,1,1,31.825,5,2477,136,1760,5.075,1.75,1.775,Diesel,0,0,0
97,2011,92%,NB,52,52,Female,Married,1,1,4,3,A,3,3,22.5,5,1753,75,1485,4.297,1.795,1.814,Diesel,0,0,0
98,2010,17%,NB,52,52,Female,Married,1,1,4,3,A,3,3,22.5,5,1753,75,1485,4.297,1.795,1.814,Diesel,0,0,0
99,2010,92%,RB,39,39,Male,Married,4,4,6,21,D,5,5,17.5,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
100,2011,17%,RB,39,39,Male,Married,4,4,6,21,D,5,5,17.5,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
101,2011,92%,RB,38,38,Male,Married,2,2,1,3,D,5,5,14,2,1248,75,1320,3.999,1.944,1.488,Diesel,2,0,0
102,2010,17%,RB,38,38,Male,Married,2,2,1,3,D,5,5,14,2,1248,75,1320,3.999,1.944,1.488,Diesel,2,0,0
103,2010,92%,RB,61,61,Female,Widow,2,2,5,3,A,3,3,21.15,5,1753,75,1485,4.297,1.795,1.814,Diesel,3,0,0
104,2011,17%,RB,61,61,Female,Widow,2,2,5,3,A,3,3,21.15,5,1753,75,1485,4.297,1.795,1.814,Diesel,3,0,0
105,2010,92%,NB,49,49,Male,Married,3,3,4,22,A,2,2,25.25,5,1753,90,1485,4.297,1.795,1.814,Diesel,0,2,2715.57
106,2011,17%,NB,49,49,Male,Married,3,3,4,22,A,2,2,25.25,5,1753,90,1485,4.297,1.795,1.814,Diesel,0,0,0
107,2010,92%,RB,60,60,Male,Married,3,3,4,3,E,6,6,14.9,2,1868,70,1175,4.137,1.724,1.815,Diesel,0,0,0
108,2011,17%,RB,60,60,Male,Married,3,3,4,3,E,6,6,14.9,2,1868,70,1175,4.137,1.724,1.815,Diesel,0,0,0
109,2010,33%,NB,48,48,Male,Married,2,2,3,3,A,5,5,21.873,5,1896,105,1446,4.405,1.802,1.833,Diesel,1,0,0
110,2011,67%,RB,48,48,Male,Married,2,2,3,3,D,6,6,15.5,2,1997,90,1211,4.137,1.724,1.815,Diesel,1,1,270.83
111,2010,17%,NB,48,48,Male,Married,2,2,3,3,A,5,5,21.873,5,1896,105,1446,4.405,1.802,1.833,Diesel,1,0,0
112,2011,92%,RB,52,52,Male,Married,4,4,6,3,E,2,2,35,5,1896,86,1770,4.89,1.904,1.959,Diesel,4,0,0
113,2010,17%,RB,52,52,Male,Married,4,4,6,3,E,2,2,35,5,1896,86,1770,4.89,1.904,1.959,Diesel,4,0,0
114,2011,92%,RB,50,50,Male,Married,3,3,6,28,E,6,6,16.4,3,2402,90,1883,5.201,1.974,2.343,Diesel,0,0,0
115,2010,17%,RB,50,50,Male,Married,3,3,6,28,E,6,6,16.4,3,2402,90,1883,5.201,1.974,2.343,Diesel,0,0,0
116,2011,92%,NB,65,65,Male,Married,1,1,6,17,F,5,5,13.8,3,2476,100,1540,5.415,1.82,1.9,Diesel,0,0,0
117,2010,17%,NB,65,65,Male,Married,1,1,6,17,F,5,5,13.8,3,2476,100,1540,5.415,1.82,1.9,Diesel,0,0,0
118,2011,75%,NB,29,29,Male,Married,4,4,5,28,A,0,0,32.75,5,1753,90,1485,4.297,1.795,1.814,Diesel,1,0,0
119,2010,17%,NB,29,29,Male,Married,4,4,5,28,A,3,3,22.6,5,1753,90,1485,4.297,1.795,1.814,Diesel,1,0,0
120,2010,17%,NB,29,29,Male,Married,4,4,5,28,A,0,0,32.75,5,1753,90,1485,4.297,1.795,1.814,Diesel,1,0,0
121,2011,92%,NB,48,48,Male,Married,1,1,1,28,A,4,4,22.2,5,1753,90,1485,4.297,1.795,1.814,Diesel,0,0,0
122,2010,17%,NB,48,48,Male,Married,1,1,1,28,A,4,4,22.2,5,1753,90,1485,4.297,1.795,1.814,Diesel,0,0,0
123,2010,92%,RB,67,67,Male,Married,5,5,6,28,A,2,2,24.95,5,1753,90,1485,4.297,1.795,1.814,Diesel,0,0,0
124,2011,17%,RB,67,67,Male,Married,5,5,6,28,A,2,2,24.95,5,1753,90,1485,4.297,1.795,1.814,Diesel,0,0,0
125,2010,92%,NB,40,40,Male,Married,6,6,6,3,D,5,5,16.4,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
126,2011,17%,NB,40,40,Male,Married,6,6,6,3,D,5,5,16.4,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
127,2011,92%,NB,47,47,Male,Married,1,1,1,3,E,3,3,19.7,2,1868,70,1175,4.137,1.724,1.815,Diesel,0,0,0
128,2010,17%,NB,47,47,Male,Married,1,1,1,3,E,3,3,19.7,2,1868,70,1175,4.137,1.724,1.815,Diesel,0,0,0
129,2010,92%,NB,54,54,Male,Married,2,2,1,3,C,4,4,30,5,2488,133,1815,5.09,1.825,1.72,Diesel,0,0,0
130,2011,17%,NB,54,54,Male,Married,2,2,1,3,C,4,4,30,5,2488,133,1815,5.09,1.825,1.72,Diesel,0,0,0
131,2010,17%,RB,35,35,Male,Married,2,2,3,24,A,9,9,12.4,5,1868,70,1190,4.137,1.724,1.819,Diesel,0,0,0
132,2011,92%,RB,54,54,Male,Married,2,2,3,9,A,4,4,19.8,5,1753,90,1485,4.297,1.795,1.814,Diesel,0,0,0
133,2010,17%,RB,54,54,Male,Married,2,2,3,9,A,4,4,19.8,5,1753,90,1485,4.297,1.795,1.814,Diesel,0,0,0
134,2011,92%,RB,39,39,Male,Married,2,2,1,3,D,2,2,16.4,2,1368,77,1190,4.253,1.722,1.831,LPG,1,0,0
135,2010,17%,RB,39,39,Male,Married,2,2,1,3,D,2,2,16.4,2,1368,77,1190,4.253,1.722,1.831,LPG,1,0,0
136,2010,92%,NB,40,40,Male,Married,2,2,1,3,C,1,1,26,5,2179,140,1035,5.125,1.86,1.765,Diesel,0,0,0
137,2011,17%,NB,40,40,Male,Married,2,2,1,3,C,1,1,26,5,2179,140,1035,5.125,1.86,1.765,Diesel,0,0,0
138,2010,92%,NB,41,41,Male,Married,1,1,1,3,A,0,0,35.5,5,1560,110,1444,4.38,2.112,1.875,Diesel,0,2,1137.14
139,2011,17%,NB,41,41,Male,Married,1,1,1,3,A,0,0,35.5,5,1560,110,1444,4.38,2.112,1.875,Diesel,0,0,0
140,2011,92%,NB,47,47,Male,Married,3,3,4,15,A,3,3,22.6,5,1753,90,1485,4.297,1.795,1.814,Diesel,0,0,0
141,2010,17%,NB,47,47,Male,Married,3,3,4,15,A,3,3,22.6,5,1753,90,1485,4.297,1.795,1.814,Diesel,0,0,0
142,2010,92%,NB,34,34,Male,Married,1,1,1,28,E,5,5,19.2,6,2198,130,1753,4.863,1.974,2.07,Diesel,0,1,606.25
143,2010,17%,NB,34,34,Male,Married,1,1,1,28,E,5,5,19.2,6,2198,130,1753,4.863,1.974,2.07,Diesel,0,0,0
144,2010,92%,NB,47,47,Male,Divorced,4,4,1,3,D,4,4,18,2,1461,65,1120,4.035,1.672,1.825,Diesel,2,0,0
145,2011,17%,NB,47,47,Male,Divorced,4,4,1,3,D,4,4,18,2,1461,65,1120,4.035,1.672,1.825,Diesel,2,1,2863.06
146,2010,83%,NB,34,34,Female,Married,2,2,3,28,G,6,6,30.9,6,1896,105,1785,4.89,1.904,1.959,Diesel,1,0,0
147,2011,25%,NB,34,34,Female,Married,2,2,3,28,G,6,6,30.9,6,1896,105,1785,4.89,1.904,1.959,Diesel,1,0,0
148,2011,92%,NB,29,29,Male,Married,1,1,1,28,E,3,3,20.4,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,1,27.32
149,2010,17%,NB,29,29,Male,Married,1,1,1,28,E,3,3,20.4,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,0,0
150,2010,92%,NB,44,44,Male,Married,1,1,1,3,E,4,4,17.6,2,1910,100,1310,4.159,1.714,1.82,Diesel,0,0,0
151,2011,17%,NB,44,44,Male,Married,1,1,1,3,E,4,4,17.6,2,1910,100,1310,4.159,1.714,1.82,Diesel,0,0,0
152,2011,92%,NB,51,51,Male,Married,1,1,3,38,E,2,2,20,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,0,0
153,2010,17%,NB,51,51,Male,Married,1,1,3,38,E,2,2,20,5,1248,75,1320,4.253,1.722,1.831,Diesel,0,0,0
154,2011,83%,NB,38,38,Male,Married,4,4,3,29,E,3,3,18.2,2,1868,70,1175,4.137,1.724,1.815,Diesel,1,0,0
155,2010,25%,NB,38,38,Male,Married,4,4,3,29,E,3,3,18.2,2,1868,70,1175,4.137,1.724,1.815,Diesel,1,0,0
156,2011,17%,NB,35,35,Male,Married,5,5,6,3,A,0,0,36.709,5,1598,102,1552,4.405,1.802,1.833,Diesel,1,0,0
157,2010,75%,RB,35,35,Male,Married,5,5,6,3,A,4,4,22.3,5,1248,70,1285,4.322,1.684,1.801,Diesel,1,0,0
158,2011,17%,NB,35,35,Male,Married,5,5,6,3,A,0,0,36.709,5,1598,102,1552,4.405,1.802,1.833,Diesel,1,0,0
159,2010,83%,NB,68,68,Male,Married,2,2,3,3,D,1,1,25,2,1461,85,1130,4.035,1.672,1.825,Diesel,0,0,0
160,2011,25%,NB,68,68,Male,Married,2,2,3,3,D,1,1,25,2,1461,85,1130,4.035,1.672,1.825,Diesel,0,0,0
161,2010,92%,NB,65,65,Male,Married,1,1,1,3,A,6,6,16.5,5,1753,75,1400,4.278,1.795,1.739,Diesel,0,0,0
162,2011,17%,NB,65,65,Male,Married,1,1,1,3,A,6,6,16.5,5,1753,75,1400,4.278,1.795,1.739,Diesel,0,0,0
163,2010,83%,RB,46,46,Male,Married,3,3,6,22,G,4,4,33.3,6,1896,105,1785,4.89,1.904,1.959,Diesel,0,0,0
164,2010,8%,NB,46,46,Male,Married,3,3,6,22,E,0,0,31.5,5,1461,105,1425,4.213,1.83,1.84,Diesel,0,0,0
165,2011,17%,RB,46,46,Male,Married,3,3,6,22,G,4,4,33.3,6,1896,105,1785,4.89,1.904,1.959,Diesel,0,0,0
166,2011,83%,NB,47,47,Male,Married,3,3,3,38,B,2,2,21,3,2476,94,1670,4.795,1.74,1.965,Diesel,1,0,0
167,2010,25%,NB,47,47,Male,Married,3,3,3,38,B,2,2,21,3,2476,94,1670,4.795,1.74,1.965,Diesel,1,0,0
168,2011,83%,RB,34,34,Male,Married,5,5,6,3,D,5,5,16.1,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
169,2010,25%,RB,34,34,Male,Married,5,5,6,3,D,5,5,16.1,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
170,2011,83%,NB,52,52,Male,Married,4,4,3,3,A,1,1,22.25,5,1560,75,1422,4.38,2.112,1.875,Diesel,0,0,0
171,2010,25%,NB,52,52,Male,Married,4,4,3,3,A,1,1,22.25,5,1560,75,1422,4.38,2.112,1.875,Diesel,0,0,0
172,2010,83%,RB,21,21,Male,Married,3,3,4,28,A,4,4,27,5,1896,105,1446,4.405,1.802,1.833,Diesel,0,0,0
173,2011,25%,RB,21,21,Male,Married,3,3,4,28,A,4,4,27,5,1896,105,1446,4.405,1.802,1.833,Diesel,0,0,0
174,2010,83%,NB,56,56,Female,Divorced,1,1,3,3,D,4,4,17.8,2,1248,70,1245,4.322,1.684,1.801,Diesel,0,0,0
175,2011,25%,NB,56,56,Female,Divorced,1,1,3,3,D,4,4,17.8,2,1248,70,1245,4.322,1.684,1.801,Diesel,0,0,0
176,2010,42%,RB,35,35,Male,Married,4,4,4,3,E,4,4,19.1,2,1868,70,1175,4.137,1.724,1.815,Diesel,1,0,0
177,2011,8%,NB,58,58,Male,Married,3,3,3,3,A,4,4,27.3,5,1896,105,1446,4.405,1.802,1.833,Diesel,2,0,0
178,2011,83%,NB,52,52,Male,Married,1,1,1,3,D,0,0,28.77,2,1461,85,1130,4.035,1.672,1.825,Diesel,0,0,0
179,2011,25%,NB,52,52,Male,Married,1,1,1,3,D,0,0,28.77,2,1461,85,1130,4.035,1.672,1.825,Diesel,0,1,1235.9
180,2010,83%,NB,58,58,Male,Married,3,3,1,3,C,12,12,14.9,5,2700,85,1920,4.99,1.7,1.61,Diesel,0,0,0
181,2011,25%,NB,58,58,Male,Married,3,3,1,3,C,12,12,14.9,5,2700,85,1920,4.99,1.7,1.61,Diesel,0,0,0
182,2010,83%,NB,46,46,Male,Married,2,2,1,28,C,0,0,48.5,5,2499,136,1905,5.035,1.8,1.735,Diesel,1,1,345.29
183,2011,25%,NB,46,46,Male,Married,2,2,1,28,C,0,0,48.5,5,2499,136,1905,5.035,1.8,1.735,Diesel,1,0,0
184,2010,83%,NB,32,32,Male,Married,1,1,1,3,D,4,4,16.8,2,1399,68,1090,3.917,1.683,1.463,Diesel,0,0,0
185,2011,25%,NB,32,32,Male,Married,1,1,1,3,D,4,4,16.8,2,1399,68,1090,3.917,1.683,1.463,Diesel,0,0,0
186,2011,83%,NB,54,54,Male,Divorced,1,1,5,3,D,1,1,26,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
187,2010,25%,NB,54,54,Male,Divorced,1,1,5,3,D,1,1,26,2,1461,65,1120,4.035,1.672,1.825,Diesel,0,0,0
188,2010,83%,NB,35,35,Male,Married,2,2,4,8,D,3,3,17.2,2,1867,71,1175,4.137,1.724,1.819,Diesel,3,1,111.32
189,2011,25%,NB,35,35,Male,Married,2,2,4,8,D,3,3,17.2,2,1867,71,1175,4.137,1.724,1.819,Diesel,3,0,0
190,2010,83%,RB,40,40,Male,Married,5,5,4,3,A,5,5,16.2,5,1867,71,1240,4.137,1.724,1.819,Diesel,4,0,0
191,2010,25%,RB,40,40,Male,Married,5,5,4,3,A,5,5,16.2,5,1867,71,1240,4.137,1.724,1.819,Diesel,4,0,0
